FILE NAME,SITE NAME,SITE CODE,COUNTRY,CONTRIBUTOR (ABBREVIATED),CONTRIBUTOR (FULL),CONTRIBUTOR WEBSITE,CONTRIBUTOR CONTACT,ORGINATOR,ORIGINATOR WEBSITE,ORIGINATOR CONTACT,LATITUDE,LONGITUDE,COORDINATE SYSTEM,START DATE/TIME,END DATE/TIME,NUMBER OF YEARS,TIME ZONE HOURS,DATUM INFORMATION,INSTRUMENT,PRECISION,NULL VALUE,GAUGE TYPE,OVERALL RECORD QUALITYDATA COMPLETENESS BETWEEN 2013-2018,
naze-359a-jpn-uhslc,Naze,359A,JPN,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Japan Oceanographic Data Center  Japan ,Unspecified,Unspecified,28.4,129.498,Unspecified,1957-04-08 15:00,2018-12-31 14:00,61,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.98
mera-352a-jpn-uhslc,Mera,352A,JPN,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Japan Meteorological Agency  Japan ,Unspecified,Unspecified,34.917,139.817,Unspecified,1965-01-01 0:00,2018-12-31 14:00,53,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.98
wakkanai-360a-jpn-uhslc,Wakkanai,360A,JPN,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Japan Meteorological Agency  Japan ,Unspecified,Unspecified,45.4,141.683,Unspecified,1967-01-01 0:00,2018-12-31 14:00,52,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.98
abashiri-347a-jpn-uhslc,Abashiri,347A,JPN,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Japan Oceanographic Data Center  Japan ,Unspecified,Unspecified,44.017,144.283,Unspecified,1968-01-01 0:00,2018-12-31 14:00,51,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.98
minamitorishima-049a-jpn-uhslc,Minamitorishima,049A,JPN,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Japan Oceanographic Data Center  Japan ,Unspecified,Unspecified,24.3,153.967,Unspecified,1997-01-01 0:00,2018-12-31 14:00,22,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.98
otaru-ma77-jpn-jodc_jma,Otaru,MA77,JPN,JODC_JMA,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Japan Meteorological Agency,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,43.2067,141.0053,Unspecified,1996-12-31 15:00,2019-12-31 14:00,24,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,99.97
saeki-ma86-jpn-jodc_jma,Saeki,MA86,JPN,JODC_JMA,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Japan Meteorological Agency,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,32.9461,131.9608,Unspecified,2009-12-31 15:00,2019-12-31 14:00,10,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,99.97
mourilyan_harbour-59140-aus-bom,Mourilyan_Harbour,59140,AUS,BOM,Bureau of Meteorology,http://www.bom.gov.au/oceanography/projects/ntc/monthly/,tides@bom.gov.au,Australian Bureau of Meteorology and State of Queensland ,https://www.qld.gov.au/environment/coasts-waterways/beach/storm/storm-sites,tides@bom.gov.au,-17.6,146.1167,GDA,1984-12-26 22:00,2019-12-31 23:00,36,0,Chart Datum / Lowest Astronomical Tide,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.97
vardo-805a-nor-uhslc,Vardo,805A,NOR,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Norwegian Hydrographic Services (NHS)  Norway ,Unspecified,Unspecified,70.333,31.1,Unspecified,1947-09-10 23:00,2018-12-31 4:00,55,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.96
panama_city-8729108-usa-noaa,Panama_City,8729108,USA,NOAA,National Oceanic and Atmospheric Administration,https://api.tidesandcurrents.noaa.gov/api/prod/,co-ops.userservices@noaa.gov,National Oceanic and Atmospheric Administration,https://api.tidesandcurrents.noaa.gov/api/prod/,co-ops.userservices@noaa.gov,30.15228,-85.7,Unspecified,1973-01-01 1:00,2021-08-31 23:00,47,0,Station Datum,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.96
queen_charlotte_city-9850-can-meds,Queen_Charlotte_City,9850,CAN,MEDS,Marine Environmental Data Section ,https://isdm-gdsi.gc.ca/isdm-gdsi/twl-mne/inventory-inventaire/index-eng.htm,Jenny.Chiu@dfo-mpo.gc.ca,Marine Environmental Data Section ,https://isdm-gdsi.gc.ca/isdm-gdsi/twl-mne/inventory-inventaire/index-eng.htm,Jenny.Chiu@dfo-mpo.gc.ca,53.25,-132.07,Unspecified,1957-06-02 5:00,2021-02-01 7:00,60,0,Chart Datum (CD),Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.95
campbell_river_bc-8074-can-meds,Campbell_River_BC,8074,CAN,MEDS,Marine Environmental Data Section ,https://isdm-gdsi.gc.ca/isdm-gdsi/twl-mne/inventory-inventaire/index-eng.htm,Jenny.Chiu@dfo-mpo.gc.ca,Marine Environmental Data Section ,https://isdm-gdsi.gc.ca/isdm-gdsi/twl-mne/inventory-inventaire/index-eng.htm,Jenny.Chiu@dfo-mpo.gc.ca,50.04,-125.25,Unspecified,1958-08-08 8:00,2021-02-01 7:00,55,0,Chart Datum (CD),Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.95
new_westminster_bc-7654-can-meds,New_Westminster_Bc,7654,CAN,MEDS,Marine Environmental Data Section ,https://isdm-gdsi.gc.ca/isdm-gdsi/twl-mne/inventory-inventaire/index-eng.htm,Jenny.Chiu@dfo-mpo.gc.ca,Marine Environmental Data Section ,https://isdm-gdsi.gc.ca/isdm-gdsi/twl-mne/inventory-inventaire/index-eng.htm,Jenny.Chiu@dfo-mpo.gc.ca,49.2,-122.91,Unspecified,1969-06-02 8:00,2021-02-01 7:00,53,0,Chart Datum (CD),Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.95
salvador-708b-bra-uhslc,Salvador,708B,BRA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,-12.973,-38.517,Unspecified,2004-10-02 15:00,2018-12-31 23:00,15,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.95
port_hedland-169a-aus-uhslc,Port_Hedland,169A,AUS,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,-20.318,118.575,Unspecified,1984-01-01 1:00,2018-12-31 23:00,35,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.95
apra_harbor_guam-053a-usa-uhslc,Apra_Harbor_Guam,053A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, 1999\u2013present  University of Hawaii Sea Level Center (UHSLC)  USA; origination\u20131998  National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,13.433,144.65,Unspecified,1948-03-10 5:00,2018-12-31 23:00,70,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.94
honningsvag-hvg-nor-nhs,Honningsvag,HVG,NOR,NHS,Norwegian Hydrographic Service ,http://api.sehavniva.no/tideapi_en.html,tidevann@kartverket.no,Norwegian Hydrographic Service ,http://api.sehavniva.no/tideapi_en.html,tidevann@kartverket.no,70.980318,25.972697,Unspecified,1970-06-04 23:00,2020-12-30 2:00,50,0,Chart Datum,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.94
kabelvag-kab-nor-nhs,Kabelvag,KAB,NOR,NHS,Norwegian Hydrographic Service ,http://api.sehavniva.no/tideapi_en.html,tidevann@kartverket.no,Norwegian Hydrographic Service ,http://api.sehavniva.no/tideapi_en.html,tidevann@kartverket.no,68.212639,14.482149,Unspecified,1989-01-01 0:00,2020-12-31 23:00,32,0,Chart Datum,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.94
marin-mar-esp-cmems,Marin,Mar,ESP,CMEMS,Copernicus Marine Environment Monitoring Service,https://resources.marine.copernicus.eu/?option=com_csw&view=details&product_id=INSITU_GLO_NRT_OBSERVATIONS_013_657,instacco@ifremer.fr,Puertos del Estado (Spain),http://www.puertos.es/,mar@puertos.es cmems-service@puertos.es,42.406101,-8.6911001,Unspecified,2010-01-01 5:00,2021-01-31 23:00,12,0,Harbour Local Datum,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.94
yonaguni-ma76-jpn-jodc_jma,Yonaguni,MA76,JPN,JODC_JMA,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Japan Meteorological Agency,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,24.4522,122.9419,Unspecified,1996-12-31 15:00,2019-12-31 14:00,24,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,99.94
bergen-bgo-nor-nhs,Bergen,BGO,NOR,NHS,Norwegian Hydrographic Service ,http://api.sehavniva.no/tideapi_en.html,tidevann@kartverket.no,Norwegian Hydrographic Service ,http://api.sehavniva.no/tideapi_en.html,tidevann@kartverket.no,60.398046,5.320487,Unspecified,1914-12-31 23:00,2020-12-31 23:00,103,0,Chart Datum,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.93
sabang-123a-idn-uhslc,Sabang,123A,IDN,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,5.888,95.317,Unspecified,2005-12-18 7:00,2018-12-31 23:00,14,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.93
hudson_creek_at_meridian_landing_near_meridian_ga-22035975-usa-usgs,Hudson_Creek_At_Meridian_Landing_Near_Meridian_Ga,22035975,USA,USGS,United States Geological Survey (USGS),https://waterdata.usgs.gov/nwis,stalke@calpoly.edu,United States Geological Survey (USGS),https://waterdata.usgs.gov/nwis,https://answers.usgs.gov,31.4533,-81.3628,1x1 cell,2007-10-01 5:00,2021-04-27 16:00,15,0,USGS Station Datum (see USGS station webpage for tie to geocentric datum),Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.93
tsushimahidakatsu-ma85-jpn-jodc_jma,Tsushimahidakatsu,MA85,JPN,JODC_JMA,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Japan Meteorological Agency,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,34.6554,129.4782,Unspecified,2009-12-31 15:00,2019-12-31 14:00,10,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,99.93
newcastle-60310-aus-bom,Newcastle,60310,AUS,BOM,Bureau of Meteorology,http://www.bom.gov.au/oceanography/projects/ntc/monthly/,tides@bom.gov.au,Australian Bureau of Meteorology and Port Authority of New South Wales,https://www.portauthoritynsw.com.au,tides@bom.gov.au,-32.9238,151.7889,GDA,1957-11-14 23:00,2019-12-31 23:00,56,0,Chart Datum / Lowest Astronomical Tide,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.93
tauranga-073a-nzl-uhslc,Tauranga,073A,NZL,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Land Information New Zealand  New Zealand ,Unspecified,Unspecified,-37.65,176.183,Unspecified,1984-08-01 0:00,2018-12-31 11:00,34,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.93
hiradoseto-9042-jpn-jodc_pahb,Hiradoseto,9042,JPN,JODC_PAHB,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Ports and Harbours Bureau,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,33.36111667,129.5752833,Unspecified,2010-12-31 15:00,2019-12-31 14:00,9,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,99.92
fortaleza-283c-bra-uhslc,Fortaleza,283C,BRA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,-3.715,-38.477,Unspecified,2008-04-14 17:00,2018-12-31 23:00,11,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.92
beaufort-8656483-usa-noaa,Beaufort,8656483,USA,NOAA,National Oceanic and Atmospheric Administration,https://api.tidesandcurrents.noaa.gov/api/prod/,co-ops.userservices@noaa.gov,National Oceanic and Atmospheric Administration,https://api.tidesandcurrents.noaa.gov/api/prod/,co-ops.userservices@noaa.gov,34.72,-76.67,Unspecified,1967-01-01 1:00,2021-07-31 23:00,50,0,Station Datum,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.92
st_johns-276b-can-uhslc,St_Johns,276B,CAN,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Marine Environmental Data Service  Department of Fisheries and Oceans  Canada ,Unspecified,Unspecified,47.567,-52.7,Unspecified,1989-09-02 17:00,2018-12-31 23:00,30,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.91
padang-107b-idn-uhslc,Padang,107B,IDN,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,-0.997,100.375,Unspecified,2005-12-07 3:00,2018-12-31 23:00,14,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.91
burnie-344a-aus-uhslc,Burnie,344A,AUS,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia,Unspecified,Unspecified,-41.05,145.915,Unspecified,1992-09-03 8:00,2018-12-31 23:00,27,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.9
tobishima-gs25-jpn-jodc_giaj,Tobishima,GS25,JPN,JODC_GIAJ,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Geospatial Information Authority of Japan,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,39.18555,139.5477833,Unspecified,1994-12-31 15:00,2019-12-31 14:00,25,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,99.9
gan-109a-mdv-uhslc,Gan,109A,MDV,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,-0.687,73.152,Unspecified,1987-03-04 10:00,2018-12-31 23:00,32,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.9
lautoka-402a-fji-uhslc,Lautoka,402A,FJI,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,-17.605,177.438,Unspecified,1992-10-24 1:00,2018-12-31 23:00,27,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.9
kwajalein-055a-mhl-uhslc,Kwajalein,055A,MHL,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,8.733,167.733,Unspecified,1946-06-07 13:00,2018-12-31 23:00,73,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.89
weipa_humbug_point-63620-aus-bom,Weipa_Humbug_Point,63620,AUS,BOM,Bureau of Meteorology,http://www.bom.gov.au/oceanography/projects/ntc/monthly/,tides@bom.gov.au,Australian Bureau of Meteorology and State of Queensland ,https://www.qld.gov.au/environment/coasts-waterways/beach/storm/storm-sites,tides@bom.gov.au,-12.67,141.8633,GDA,1965-12-27 2:00,2019-12-31 23:00,47,0,Chart Datum / Lowest Astronomical Tide,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.89
bodo-boo-nor-nhs,Bodo,BOO,NOR,NHS,Norwegian Hydrographic Service ,http://api.sehavniva.no/tideapi_en.html,tidevann@kartverket.no,Norwegian Hydrographic Service ,http://api.sehavniva.no/tideapi_en.html,tidevann@kartverket.no,67.29233,14.39977,Unspecified,1949-09-14 23:00,2020-12-31 23:00,71,0,Chart Datum,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.89
susa-gs16-jpn-jodc_giaj,Susa,GS16,JPN,JODC_GIAJ,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Geospatial Information Authority of Japan,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,34.6275,131.6047167,Unspecified,1969-12-31 15:00,2019-12-31 14:00,50,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,99.88
south_trees-h052026a-aus-bom,South_Trees,H052026A,AUS,BOM,Bureau of Meteorology,http://www.bom.gov.au/oceanography/projects/ntc/monthly/,tides@bom.gov.au,The State of Queensland,https://www.qld.gov.au/environment/coasts-waterways/beach/storm/storm-sites,Unspecified,-23.85,151.3,GDA,1995-12-31 14:00,2019-12-31 13:50,25,0,Chart Datum / Lowest Astronomical Tide,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.88
marsden_point-398a-nzl-uhslc,Marsden_Point,398A,NZL,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Land Information New Zealand  New Zealand ,Unspecified,Unspecified,-35.833,174.5,Unspecified,1975-10-19 22:00,2018-12-31 11:00,44,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.87
port_adelaide_outer_harbor-61600-aus-bom,Port_Adelaide_Outer_Harbor,61600,AUS,BOM,Bureau of Meteorology,http://www.bom.gov.au/oceanography/projects/ntc/monthly/,tides@bom.gov.au,Australian Bureau of Meteorology and Flinders Ports P. L.,https://www.flindersports.com.au/flinders-ports-leading-the-way-for-port-operations/,flindersports@flindersports.com.au,-34.7798,138.4807,GDA,1940-11-09 1:00,2019-12-31 23:00,80,0,Chart Datum / Lowest Astronomical Tide,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.87
ketchikan_ak-571a-usa-uhslc,Ketchikan_AK,571A,USA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Ocean Service (NOS)  National Oceanic and Atmospheric Administration (NOAA)  USA ,Unspecified,Unspecified,55.333,-131.625,Unspecified,1918-10-12 1:00,2018-12-31 23:00,79,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.87
bedford_institute-491-can-meds,Bedford_Institute,491,CAN,MEDS,Marine Environmental Data Section ,https://isdm-gdsi.gc.ca/isdm-gdsi/twl-mne/inventory-inventaire/index-eng.htm,Jenny.Chiu@dfo-mpo.gc.ca,Marine Environmental Data Section ,https://isdm-gdsi.gc.ca/isdm-gdsi/twl-mne/inventory-inventaire/index-eng.htm,Jenny.Chiu@dfo-mpo.gc.ca,44.68,-63.62,Unspecified,1972-04-15 5:00,2021-04-06 14:00,25,0,Chart Datum (CD),Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.87
tajiri-gs10-jpn-jodc_giaj,Tajiri,GS10,JPN,JODC_GIAJ,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Geospatial Information Authority of Japan,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,35.59361667,134.3161167,Unspecified,1965-12-31 15:00,2019-12-31 14:00,55,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,99.86
elfin_cove-9452634-usa-noaa,Elfin_Cove,9452634,USA,NOAA,National Oceanic and Atmospheric Administration,https://api.tidesandcurrents.noaa.gov/api/prod/,co-ops.userservices@noaa.gov,National Oceanic and Atmospheric Administration,https://api.tidesandcurrents.noaa.gov/api/prod/,co-ops.userservices@noaa.gov,58.19472,-136.34694,Unspecified,1991-01-01 1:00,2021-08-31 23:00,19,0,Station Datum,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.86
killybegs_port-kil-irl-mi_c,Killybegs_Port,KIL,IRL,MI_C,Marine Institute,https://erddap.marine.ie/erddap/tabledap/IrishNationalTideGaugeNetwork.html,datarequests@marine.ie,Marine Institute,https://erddap.marine.ie/erddap/tabledap/IrishNationalTideGaugeNetwork.html,datarequests@marine.ie,54.6364,-8.3949,Unspecified,2007-03-28 14:36,2021-09-16 15:30,15,0,Malin Ordnance Datum,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.86
brisbane-331a-aus-uhslc,Brisbane,331A,AUS,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,-27.367,153.167,Unspecified,1984-01-01 0:00,2018-12-31 13:00,35,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.86
okushiriko-1621-jpn-jodc_pahb,Okushiriko,1621,JPN,JODC_PAHB,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Ports and Harbours Bureau,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,42.1742,139.5181,Unspecified,2010-12-31 15:00,2019-12-31 14:00,10,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,99.86
currimao-654a-phl-uhslc,Currimao,654A,PHL,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Transport Engineering Design Incorporation  Vietnam ,Unspecified,Unspecified,17.988,120.488,Unspecified,2009-10-09 8:00,2018-12-31 23:00,10,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.86
nylesund-823a-nor-uhslc,Nylesund,823A,NOR,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Norwegian Hydrographic Services (NHS)  Norway ,Unspecified,Unspecified,78.938,11.938,Unspecified,1976-08-30 23:00,2018-12-30 22:00,42,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.85
tofino-542a-can-uhslc,Tofino,542A,CAN,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Marine Environmental Data Service  Department of Fisheries and Oceans  Canada ,Unspecified,Unspecified,49.153,-125.913,Unspecified,1909-10-01 20:00,2018-12-31 23:00,91,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.85
settlement_point-257b-bhs-uhslc,Settlement_Point,257B,BHS,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, University of Hawaii Sea Level Center (UHSLC)  USA ,Unspecified,Unspecified,26.69,-78.983,Unspecified,2002-06-04 16:00,2018-12-31 23:00,17,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.84
port_alexander-9451054-usa-noaa,Port_Alexander,9451054,USA,NOAA,National Oceanic and Atmospheric Administration,https://api.tidesandcurrents.noaa.gov/api/prod/,co-ops.userservices@noaa.gov,National Oceanic and Atmospheric Administration,https://api.tidesandcurrents.noaa.gov/api/prod/,co-ops.userservices@noaa.gov,56.24661,-134.64772,Unspecified,2007-01-01 1:00,2021-08-31 23:00,15,0,Station Datum,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.84
dunkerque-2-fra-refmar,Dunkerque,2,FRA,REFMAR,Réseaux de référence des observations marégraphiques (Reference networks for tidal observations),http://refmar.shom.fr/en,refmar@shom.fr,Réseaux de référence des observations marégraphiques (Reference networks for tidal observations),http://refmar.shom.fr/en,refmar@shom.fr,51.048091,2.366698,Unspecified,1956-06-06 23:00,2021-01-01 0:00,64,0,Zero Hydrographique,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.84
ko_lak-328a-tha-uhslc,Ko_Lak,328A,THA,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Naval Hydrographic Department  Royal Thai Navy  THA ,Unspecified,Unspecified,11.795,99.817,Unspecified,1985-01-01 0:00,2018-12-31 16:00,34,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.83
seldovia-9455500-usa-noaa,Seldovia,9455500,USA,NOAA,National Oceanic and Atmospheric Administration,https://api.tidesandcurrents.noaa.gov/api/prod/,co-ops.userservices@noaa.gov,National Oceanic and Atmospheric Administration,https://api.tidesandcurrents.noaa.gov/api/prod/,co-ops.userservices@noaa.gov,59.440498,-151.719894,Unspecified,1975-01-01 1:00,2021-08-31 23:00,45,0,Station Datum,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.83
nuku_alofa-038a-ton-uhslc,Nuku_alofa,038A,TON,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, National Tidal Centre (NTC)  Bureau of Meteorology (BOM)  Australia ,Unspecified,Unspecified,-21.14,-175.18,Unspecified,1990-06-20 21:00,2018-12-31 23:00,29,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.83
le_crouesty-185-fra-refmar,Le_Crouesty,185,FRA,REFMAR,Réseaux de référence des observations marégraphiques (Reference networks for tidal observations),http://refmar.shom.fr/en,refmar@shom.fr,Réseaux de référence des observations marégraphiques (Reference networks for tidal observations),http://refmar.shom.fr/en,refmar@shom.fr,47.542676,-2.895167,Unspecified,1996-03-14 23:00,2021-01-01 0:00,24,0,Zero Hydrographique,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.82
hong_kong-329b-hkg-uhslc,Hong_Kong,329B,HKG,UHSLC,University of Hawaii Sea Level Center,https://uhslc.soest.hawaii.edu,philiprt@hawaii.edu, Hong Kong Observatory  Hong Kong ,Unspecified,Unspecified,22.3,114.217,Unspecified,1986-01-01 0:00,2018-12-31 15:00,33,0,Unspecified,Unspecified,Unspecified,-99.9999,Coastal,No obvious issues,99.82
oga-gs14-jpn-jodc_giaj,Oga,GS14,JPN,JODC_GIAJ,Japan Oceanographic Data Center,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,Geospatial Information Authority of Japan,https://jdoss1.jodc.go.jp/vpage/tide.html,analysis@jodc.go.jp,39.94221667,139.7033333,Unspecified,1969-12-31 15:00,2019-12-31 14:00,50,0,Zero of Tide Height,Float,Unspecified,-99.9999,Coastal,No obvious issues,99.82
